c;(all FOB bulk spot, USD/MT);Oct-13;Nov-13;Dec-13;Jan-14;Feb-14;Mar-14;Apr-14;May-14;Jun-14;Jul-14;Aug-14;Sep-14;1 month;1 year
N;Urea (prilled, Arab Gulf);293;320;333;347;354;323;295;291;295;300;323;349;8%;19%
N;Urea (granular, Indonesia/Malaysia);293;323;333;371;382;350;315;299;301;309;333;350;5%;19%
N;Ammonium Sulfate (Black Sea);132;135;144;147;153;142;121;115;114;132;148;154;4%;16%
N;Ammonia (Yuhzny);441;405;418;420;424;470;510;499;463;451;470;543;15%;23%
P;DAP (Baltic/Black Sea);393;383;384;439;495;500;465;435;458;496;513;506;-1%;29%
P;MAP (Morocco);400;396;395;449;485;485;475;460;489;518;530;520;-2%;30%
P;TSP (Tunisia);326;314;300;298;365;375;385;385;385;395;398;407;2%;25%
P;SOP (North/West Europe);418;453;453;449;435;435;435;435;465;465;465;465;0%;11%
K;MOP (Israel);345;323;305;304;298;298;298;298;298;298;298;298;0%;-14%
NPK;NPK 16-16-16 (FSU);323;323;323;329;340;350;350;350;350;359;365;366;0%;14%
