ADM2_CODE,ADM2_NAME,NDVI March 2014 index*10000,NDVI June 2014 index*10000
51333,Kiambu,6614.14,5855.71
51334,Kirinyaga,6305.82,5991.93
51335,Maragua,6717.63,6061.00
51336,Muranga,6587.77,6110.69
51337,Nyandarua,5376.37,5731.22
51338,Nyeri,5829.81,6232.56
51339,Thika,6172.77,5330.84
51340,Kilifi,4713.82,5869.34
51341,Kwale,4469.61,5570.09
51342,Lamu,4844.95,7116.50
51343,Malindi,4647.47,5767.30
51344,Mombasa,3532.17,5376.50
51345,Taita Taveta,4423.39,3090.94
51346,Tana River,2958.47,2945.98
51347,Embu,6832.54,6129.85
51348,Isiolo,2545.10,1951.93
51349,Kitui,4820.20,3185.13
51350,Machakos,4783.31,3822.89
51351,Makueni,5156.17,4004.94
51352,Marsabit,2535.86,1648.85
51353,Mbeere,4228.18,3669.52
51354,Meru Central,5704.17,5713.21
51355,Meru North,5006.74,3849.97
51356,Meru South,5864.00,5726.56
51357,Moyale,4491.85,2810.24
51358,Mwingi,4146.39,3121.24
51359,Tharaka,3709.60,3669.28
51360,Nairobi,4985.83,4295.08
51361,Garissa,2602.97,2536.90
51362,Ijara,3971.47,5764.45
51363,Mandera,2682.31,2512.82
51364,Wajir,2336.33,2174.26
51365,Bondo,4332.94,5686.19
51366,Central Kisii,5792.42,7107.42
51367,Gucha,6101.58,7255.67
51368,Homa Bay,4899.83,6995.33
51369,Kisumu,4640.69,6199.85
51370,Kuria,5111.90,6571.70
51371,Migori,5157.50,6643.91
51372,Nyamira,6491.69,7007.54
51373,Nyando,4473.70,6340.70
51374,Rachuonyo,4291.00,6566.47
51375,Siaya,4348.80,6910.88
51376,Suba,4857.50,6227.89
61009,Administrative unit not available,65.90,790.88
51377,Baringo,3679.69,4577.56
51378,Bomet,6583.56,6384.04
51379,Buret,6742.74,7299.17
51380,Kajiado,4652.57,2974.85
51381,Keiyo,5315.92,6942.76
51382,Kericho,5763.97,7325.94
51383,Koibatek,4973.83,5774.36
51384,Laikipia,3811.25,3832.70
51385,Marakwet,5959.68,6773.96
51386,Nakuru,4914.94,5663.92
51388,Narok,5531.95,4945.14
51389,Samburu,3479.33,2738.35
51390,Trans Mara,6259.91,6379.70
51391,Trans Nzoia,4603.76,7380.37
51392,Turkana,2178.59,1997.16
51393,Uasin Gishu,4292.59,6715.93
51394,West Pokot,4131.61,5090.27
61001,Administrative unit not available,-626.02,-804.59
68769,Nandi North,5740.68,7469.72
68770,Nandi South,6679.48,7373.57
51395,Bungoma,4841.38,7232.50
51396,Busia,5106.94,6813.53
51397,Butere Mumias,4916.31,7014.00
51398,Kakamega,5822.90,7243.29
51399,Lugari,4757.27,7235.36
51400,Mt Elgon,5930.80,6413.07
51401,Teso,4732.56,7020.56
51402,Vihiga,5218.00,7111.63
61005,Administrative unit not available,3937.33,4926.67
