ADM2_CODE,ADM2_NAME,Rainfall March 2014 (mm),Rainfall June 2014 (mm)
51333,Kiambu,377.0000,96.0000
51334,Kirinyaga,736.0000,107.5000
51335,Maragua,797.0000,175.5000
51336,Muranga,644.0000,175.5000
51337,Nyandarua,473.2500,248.2500
51338,Nyeri,827.0000,83.0000
51339,Thika,726.0000,184.5000
51340,Kilifi,313.1670,27.6667
51341,Kwale,408.0000,36.4444
51342,Lamu,218.8570,449.5714
51343,Malindi,571.6670,20.6667
51344,Mombasa,313.1670,27.6667
51345,Taita Taveta,931.1430,5.1429
51346,Tana River,819.9170,28.5833
51347,Embu,699.0000,42.0000
51348,Isiolo,592.8130,5.7188
51349,Kitui,875.7200,0.4000
51350,Machakos,797.0000,64.3750
51351,Makueni,697.8890,2.7778
51352,Marsabit,806.8780,8.9054
51353,Mbeere,515.3330,38.6667
51354,Meru Central,775.6670,177.6667
51355,Meru North,736.5000,35.8333
51356,Meru South,937.0000,69.0000
51357,Moyale,924.0000,0.0000
51358,Mwingi,683.7270,0.2727
51359,Tharaka,537.5000,47.0000
51360,Nairobi,590.0000,320.0000
51361,Garissa,613.9760,20.1667
51362,Ijara,394.6430,196.7857
51363,Mandera,295.3530,0.0000
51364,Wajir,560.3470,10.4861
51365,Bondo,1145.0000,293.0000
51366,Central Kisii,708.0000,717.0000
51367,Gucha,708.0000,717.0000
51368,Homa Bay,1235.0000,181.0000
51369,Kisumu,1619.8000,538.8000
51370,Kuria,1180.0000,459.0000
51371,Migori,982.3330,422.6667
51372,Nyamira,818.0000,843.6667
51373,Nyando,969.3330,800.0000
51374,Rachuonyo,701.0000,601.0000
51375,Siaya,923.0000,553.5000
51376,Suba,2219.0000,567.0000
61009,Administrative unit not available,1619.8000,538.8000
51377,Baringo,216.7000,493.7000
51378,Bomet,818.0000,843.6667
51379,Buret,754.0000,993.0000
51380,Kajiado,508.9640,35.9286
51381,Keiyo,218.0000,488.3333
51382,Kericho,812.5000,975.5000
51383,Koibatek,350.0000,474.6667
51384,Laikipia,450.5830,161.4167
51385,Marakwet,428.5000,771.5000
51386,Nakuru,503.0000,501.0000
51388,Narok,559.7780,346.8889
51389,Samburu,584.5360,48.2500
51390,Trans Mara,1203.6700,482.3333
51391,Trans Nzoia,499.0000,999.0000
51392,Turkana,478.7320,106.7465
51393,Uasin Gishu,450.5000,1382.2500
51394,West Pokot,336.5830,321.5000
61001,Administrative unit not available,1138.0000,294.8889
68769,Nandi North,985.0000,1832.0000
68770,Nandi South,736.5000,737.0000
51395,Bungoma,1232.0000,1360.0000
51396,Busia,1475.0000,599.5000
51397,Butere Mumias,768.0000,1017.0000
51398,Kakamega,814.0000,1563.0000
51399,Lugari,531.5000,1758.0000
51400,Mt Elgon,602.5000,751.0000
51401,Teso,845.0000,585.0000
51402,Vihiga,1420.0000,612.0000
61005,Administrative unit not available,1475.0000,599.5000
