ADM2_CODE,ADM2_NAME,Rainfall April 2014 (mm),NDVI April 2014 (index*10000)
51333,Kiambu,215.500,7287.38
51334,Kirinyaga,600.000,6691.11
51335,Maragua,414.500,7343.50
51336,Muranga,414.500,7194.85
51337,Nyandarua,220.750,5731.85
51338,Nyeri,450.667,6520.20
51339,Thika,368.000,6925.65
51340,Kilifi,162.667,5167.86
51341,Kwale,146.111,5042.44
51342,Lamu,235.286,5699.45
51343,Malindi,240.778,5359.97
51344,Mombasa,162.667,4248.00
51345,Taita Taveta,320.619,4910.00
51346,Tana River,386.479,3704.21
51347,Embu,595.000,7150.85
51348,Isiolo,534.000,3111.89
51349,Kitui,576.280,5492.02
51350,Machakos,462.250,5656.05
51351,Makueni,522.333,5818.95
51352,Marsabit,171.405,2809.75
51353,Mbeere,511.000,5498.27
51354,Meru Central,782.000,6060.27
51355,Meru North,964.333,5751.56
51356,Meru South,618.000,6449.75
51357,Moyale,145.182,5276.83
51358,Mwingi,952.636,5279.98
51359,Tharaka,527.000,4887.36
51360,Nairobi,247.000,5379.50
51361,Garissa,465.976,3420.52
51362,Ijara,442.000,5170.78
51363,Mandera,381.206,3286.62
51364,Wajir,318.167,2911.64
51365,Bondo,1471.000,5712.69
51366,Central Kisii,516.000,6325.33
51367,Gucha,516.000,6888.17
51368,Homa Bay,460.000,6441.67
51369,Kisumu,1035.800,5698.85
51370,Kuria,560.000,6072.20
51371,Migori,697.667,6194.25
51372,Nyamira,492.000,6785.15
51373,Nyando,719.000,5645.13
51374,Rachuonyo,544.500,5780.73
51375,Siaya,1834.500,5788.84
51376,Suba,537.000,6035.06
61009,Administrative unit not available,1035.800,323.62
51377,Baringo,216.700,4051.06
51378,Bomet,492.000,7182.28
51379,Buret,697.000,7463.52
51380,Kajiado,257.321,4589.84
51381,Keiyo,132.333,5840.60
51382,Kericho,552.000,6661.12
51383,Koibatek,240.333,5323.81
51384,Laikipia,258.083,4308.44
51385,Marakwet,262.500,6340.48
51386,Nakuru,415.375,5247.50
51388,Narok,323.389,5653.84
51389,Samburu,390.964,4014.97
51390,Trans Mara,519.333,6654.33
51391,Trans Nzoia,533.000,5356.58
51392,Turkana,79.070,2339.07
51393,Uasin Gishu,446.000,4372.19
51394,West Pokot,128.750,4804.10
61001,Administrative unit not available,344.444,-559.37
68769,Nandi North,894.000,6066.92
68770,Nandi South,648.000,7068.65
51395,Bungoma,1826.000,5569.18
51396,Busia,1707.000,6195.65
51397,Butere Mumias,1837.000,5707.50
51398,Kakamega,1475.000,6223.57
51399,Lugari,1019.000,4915.36
51400,Mt Elgon,1100.500,6410.93
51401,Teso,1539.000,6029.67
51402,Vihiga,1120.000,6111.13
61005,Administrative unit not available,1707.000,4776.33
