ADM2_CODE,ADM2_NAME,Temperature Mean March 1950-2000 (°C*10),Temperature Mean June 1950-2000 (°C*10)
51333,Kiambu,178.069,147.733
51334,Kirinyaga,197.730,175.663
51335,Maragua,197.053,172.868
51336,Muranga,182.501,160.414
51337,Nyandarua,142.124,124.957
51338,Nyeri,154.461,139.202
51339,Thika,200.237,173.374
51340,Kilifi,268.851,237.101
51341,Kwale,268.018,233.249
51342,Lamu,285.616,259.507
51343,Malindi,274.793,244.835
51344,Mombasa,285.792,251.269
51345,Taita Taveta,256.386,220.233
51346,Tana River,285.775,252.684
51347,Embu,190.278,167.016
51348,Isiolo,272.917,251.034
51349,Kitui,263.407,230.535
51350,Machakos,219.816,189.983
51351,Makueni,240.187,206.397
51352,Marsabit,274.210,250.593
51353,Mbeere,234.181,207.367
51354,Meru Central,170.056,149.346
51355,Meru North,235.763,214.681
51356,Meru South,202.799,177.725
51357,Moyale,275.965,241.381
51358,Mwingi,253.479,223.009
51359,Tharaka,254.394,225.416
51360,Nairobi,204.564,175.009
51361,Garissa,297.810,265.625
51362,Ijara,289.990,259.917
51363,Mandera,283.101,251.630
51364,Wajir,293.588,262.383
51365,Bondo,232.002,216.010
51366,Central Kisii,198.220,181.354
51367,Gucha,199.052,182.361
51368,Homa Bay,224.330,208.119
51369,Kisumu,229.299,213.065
51370,Kuria,210.762,194.717
51371,Migori,222.853,207.011
51372,Nyamira,191.199,173.679
51373,Nyando,230.425,215.348
51374,Rachuonyo,223.826,207.314
51375,Siaya,227.762,212.054
51376,Suba,225.998,210.484
61009,Administrative unit not available,235.353,219.910
51377,Baringo,227.809,213.553
51378,Bomet,187.570,169.427
51379,Buret,181.616,164.455
51380,Kajiado,228.002,195.357
51381,Keiyo,189.773,175.511
51382,Kericho,186.866,171.731
51383,Koibatek,192.104,181.670
51384,Laikipia,180.919,169.879
51385,Marakwet,171.228,155.223
51386,Nakuru,171.071,152.127
51388,Narok,183.706,159.528
51389,Samburu,226.823,208.468
51390,Trans Mara,199.831,182.511
51391,Trans Nzoia,184.923,168.328
51392,Turkana,278.626,261.477
51393,Uasin Gishu,177.040,159.131
51394,West Pokot,217.151,200.580
61001,Administrative unit not available,302.452,285.234
68769,Nandi North,187.576,169.103
68770,Nandi South,193.282,177.497
51395,Bungoma,213.941,197.626
51396,Busia,230.281,215.027
51397,Butere Mumias,224.002,208.095
51398,Kakamega,213.309,196.694
51399,Lugari,199.958,182.501
51400,Mt Elgon,160.336,144.526
51401,Teso,230.246,214.163
51402,Vihiga,211.743,196.028
61005,Administrative unit not available,234.034,218.943
